Test File;Processes;Threads;Min;Q1;Median;Q3;Max;Average;Std Dev;Matches Sequential
1600k_100.inp;2;4;35.0636;35.1837;35.4733;38.2057;38.4812;36.4504;1.4496;Yes
1600k_100.inp;2;8;17.9435;18.0571;18.2589;18.3291;18.3932;18.2063;0.1493;Yes
1600k_100.inp;2;16;9.4971;9.5316;9.6371;9.7427;9.7799;9.6371;0.0997;Yes
1600k_100.inp;2;32;5.7434;5.7706;6.2097;7.0586;7.0826;6.3736;0.5823;Yes
1600k_100.inp;4;2;34.8276;34.8323;34.8610;34.9367;34.9684;34.8798;0.0518;Yes
1600k_100.inp;4;4;17.8496;17.9149;17.9951;18.0035;18.0096;17.9664;0.0591;Yes
1600k_100.inp;4;8;9.2432;9.2773;9.3252;9.3924;9.3925;9.3329;0.0559;Yes
1600k_100.inp;4;16;4.9987;5.0028;5.0080;5.0955;5.1491;5.0409;0.0561;Yes
1600k_100.inp;4;32;3.4115;3.4568;3.5918;3.6971;3.7295;3.5799;0.1132;Yes
1600k_100.inp;8;2;18.7709;18.7799;19.0515;19.1939;19.2655;18.9998;0.1924;Yes
1600k_100.inp;8;4;10.0373;10.0427;10.0735;10.2489;10.3348;10.1313;0.1109;Yes
1600k_100.inp;8;8;5.5602;5.5823;5.6685;5.7080;5.7460;5.6498;0.0634;Yes
1600k_100.inp;8;16;3.1893;3.1939;3.2760;3.3338;3.3592;3.2663;0.0648;Yes
1600k_100.inp;8;32;2.2721;2.2982;2.3266;2.3622;2.3966;2.3295;0.0396;Yes
