Test File,Processes,Threads,Run,Computation Time (s),Matches Sequential
800k_100.inp,2,16,1,7.351732,Yes
800k_100.inp,2,16,2,7.23702,Yes
800k_100.inp,2,16,3,7.673001,Yes
800k_100.inp,2,16,4,7.3011,Yes
800k_100.inp,2,16,5,7.427504,Yes
800k_100.inp,2,32,1,4.479286,Yes
800k_100.inp,2,32,2,4.426407,Yes
800k_100.inp,2,32,3,3.811847,Yes
800k_100.inp,2,32,4,4.383698,Yes
800k_100.inp,2,32,5,4.46873,Yes
800k_100.inp,4,2,1,23.118826,Yes
800k_100.inp,4,2,2,23.124498,Yes
800k_100.inp,4,2,3,23.264512,Yes
800k_100.inp,4,2,4,23.16554,Yes
800k_100.inp,4,2,5,22.972425,Yes
800k_100.inp,4,4,1,13.269699,Yes
800k_100.inp,4,4,2,12.980224,Yes
800k_100.inp,4,4,3,12.940746,Yes
800k_100.inp,4,4,4,12.98452,Yes
800k_100.inp,4,4,5,13.092598,Yes
800k_100.inp,4,8,1,7.304404,Yes
800k_100.inp,4,8,2,7.22361,Yes
800k_100.inp,4,8,3,7.273641,Yes
800k_100.inp,4,8,4,7.094376,Yes
800k_100.inp,4,8,5,7.149316,Yes
800k_100.inp,4,16,1,4.204602,Yes
800k_100.inp,4,16,2,4.571467,Yes
800k_100.inp,4,16,3,3.834831,Yes
800k_100.inp,4,16,4,4.255191,Yes
800k_100.inp,4,16,5,4.310345,Yes
800k_100.inp,4,32,1,2.846464,Yes
800k_100.inp,4,32,2,2.79167,Yes
800k_100.inp,4,32,3,3.002306,Yes
800k_100.inp,4,32,4,2.953268,Yes
800k_100.inp,4,32,5,3.462529,Yes
800k_100.inp,8,2,1,12.240233,Yes
800k_100.inp,8,2,2,11.864111,Yes
800k_100.inp,8,2,3,11.976852,Yes
800k_100.inp,8,2,4,12.066588,Yes
800k_100.inp,8,2,5,11.84112,Yes
800k_100.inp,8,4,1,6.758509,Yes
800k_100.inp,8,4,2,6.630536,Yes
800k_100.inp,8,4,3,6.899198,Yes
800k_100.inp,8,4,4,6.912046,Yes
800k_100.inp,8,4,5,6.837048,Yes
800k_100.inp,8,8,1,3.771197,Yes
800k_100.inp,8,8,2,3.860764,Yes
800k_100.inp,8,8,3,3.925284,Yes
800k_100.inp,8,8,4,3.861573,Yes
800k_100.inp,8,8,5,3.805009,Yes
800k_100.inp,8,16,1,2.250783,Yes
800k_100.inp,8,16,2,2.253926,Yes
800k_100.inp,8,16,3,2.205365,Yes
800k_100.inp,8,16,4,2.256698,Yes
800k_100.inp,8,16,5,2.227545,Yes
800k_100.inp,8,32,1,1.630523,Yes
800k_100.inp,8,32,2,1.705325,Yes
800k_100.inp,8,32,3,1.643069,Yes
800k_100.inp,8,32,4,2.001199,Yes
800k_100.inp,8,32,5,1.692415,Yes
1600k_100.inp,2,2,1,69.511751,Yes
1600k_100.inp,2,2,2,68.92328,Yes
1600k_100.inp,2,2,3,69.274948,Yes
1600k_100.inp,2,2,4,70.781326,Yes
1600k_100.inp,2,2,5,69.030006,Yes
1600k_100.inp,2,4,1,35.063588,Yes
1600k_100.inp,2,4,2,38.481186,Yes
1600k_100.inp,2,4,3,37.930152,Yes
1600k_100.inp,2,4,4,35.473307,Yes
1600k_100.inp,2,4,5,35.303749,Yes
1600k_100.inp,2,8,1,18.170641,Yes
1600k_100.inp,2,8,2,18.258943,Yes
1600k_100.inp,2,8,3,17.943542,Yes
1600k_100.inp,2,8,4,18.265068,Yes
1600k_100.inp,2,8,5,18.393199,Yes
1600k_100.inp,2,16,1,9.497096,Yes
1600k_100.inp,2,16,2,9.705582,Yes
1600k_100.inp,2,16,3,9.637064,Yes
1600k_100.inp,2,16,4,9.779859,Yes
1600k_100.inp,2,16,5,9.566071,Yes
